KEY	EN
tree.name.atk_1	Attack I
tree.desc.atk_1	All damage increased by 5%
tree.name.atk_2	Attack II
tree.desc.atk_2	All damage increased by 7%
tree.name.hp_1	Health I
tree.desc.hp_1	Max health increased by 8
tree.name.hp_2	Health II
tree.desc.hp_2	Max health increased by 8
tree.name.New_Reroll	Unlock Reroll
tree.desc.New_Reroll	Unlocks the ability to reroll level-up choices once per run
tree.name.reroll_2	Reroll I
tree.desc.reroll_2	+1 reroll per run
tree.name.crit_1	Crit I
tree.desc.crit_1	Critical chance increased by 5%
tree.name.crit_2	Crit II
tree.desc.crit_2	Critical chance increased by 5%
tree.name.exp_1	Experience I
tree.desc.exp_1	Experience gain +7%
tree.name.exp_2	Experience II
tree.desc.exp_2	Experience gain +10%
tree.name.gold_1	Wealth I
tree.desc.gold_1	Essence gain +20%
tree.name.gold_2	Wealth II
tree.desc.gold_2	Essence gain +26%
tree.name.arrow_StartLev	Arrow Mastery
tree.desc.arrow_StartLev	(With Strawberry) Start Arrow Shot at level 3
tree.name.orb_BasicFly	Orb Hits Flyers
tree.desc.orb_BasicFly	The basic orb can now hit flying enemies
tree.name.fly_1	Anti-Air I
tree.desc.fly_1	Bonus damage to flying enemies +20%
tree.name.eagle_fly	Eagle Anti-Air
tree.desc.eagle_fly	Eagle Drop's bonus damage to flying enemies +30%
tree.name.fly_2	Anti-Air II
tree.desc.fly_2	Bonus damage to flying enemies +20%
tree.name.cool_1	Cooldown I
tree.desc.cool_1	All skill cooldowns -2%
tree.name.cool_2	Cooldown II
tree.desc.cool_2	All skill cooldowns -2%
tree.name.tornado_CoolDownBonus	Swift Whirlwind
tree.desc.tornado_CoolDownBonus	Whirlwind receives 1.5x the effect of all cooldown reduction
tree.name.thunder_Cooldown	Lightning Cooldown
tree.desc.thunder_Cooldown	Every lightning strike cuts Lightning's cooldown by 0.01s
tree.name.atk_3	Attack III
tree.desc.atk_3	All damage increased by 9%
tree.name.gold_3	Wealth III
tree.desc.gold_3	Essence gain +33%
tree.name.Root_Skilltree	Skill Tree Unlocked!
tree.desc.Root_Skilltree	Unlocks the skill tree!
tree.name.New_Orb	Unlock Orb
tree.desc.New_Orb	<Orb> can now appear as a skill choice.
tree.name.New_Lightning	Unlock Lightning
tree.desc.New_Lightning	<Lightning> can now appear as a skill choice.
tree.name.New_Homing	Unlock Homing
tree.desc.New_Homing	<Homing Missile> can now appear as a skill choice.
tree.name.New_Shotgun	Unlock Buckshot
tree.desc.New_Shotgun	<Buckshot Blast> can now appear as a skill choice.
tree.name.New_Rewind	Unlock Rewind
tree.desc.New_Rewind	<Rewind> can now appear as a skill choice.
tree.name.Rewind_Slow	Blueberry Slow
tree.desc.Rewind_Slow	Rewind winds back the blueberries' time as well,\nslowing every blueberry on the field.
tree.name.Shotgun_CloseBonus	Close Aim
tree.desc.Shotgun_CloseBonus	Buckshot-buffed attacks hit nearby enemies\n2 extra times.
tree.name.Homing_MissileNum	More Bombardment
tree.desc.Homing_MissileNum	Every 10 uses of Homing Missile\nadds one more missile per volley.
tree.name.Sniping_TwoTarget	Two With One Shot
tree.desc.Sniping_TwoTarget	Sniping targets one additional enemy.
tree.name.swing_StartLev	Swing Mastery
tree.desc.swing_StartLev	(With Pineapple) Start Swing at level 3
char.name.Char_Pineapple	Pineapple
char.name.Char_Slot3	Grape
char.name.Char_Strawberry	Strawberry
map.name.Map_BlueberryField	Blueberry Field
map.name.Map_Wide15	Seaside
map.name.Map_Wide20	Vast Space
tree.name.tornado_Fly	Whirlwind Anti-Air
tree.desc.tornado_Fly	Whirlwind's bonus damage to flying enemies +30%
tree.name.cool_3	Cooldown III
tree.desc.cool_3	All skill cooldowns -2%
tree.name.cool_4	Cooldown IV
tree.desc.cool_4	All skill cooldowns -2%
tree.name.cool_5	Cooldown V
tree.desc.cool_5	All skill cooldowns -2%
tree.name.accel_BaseCool	Haste Training
tree.desc.accel_BaseCool	<Haste> starts with +5% cooldown reduction
tree.name.accel_FastSkillDmg	Quick Hands
tree.desc.accel_FastSkillDmg	While you have <Haste>, skills with a cooldown of 4s or less deal +30% damage
tree.name.critdmg_1	Crit Damage I
tree.desc.critdmg_1	Critical damage +10%
tree.name.critdmg_2	Crit Damage II
tree.desc.critdmg_2	Critical damage +10%
tree.name.critdmg_3	Crit Damage III
tree.desc.critdmg_3	Critical damage +15%
tree.name.assassin_BaseCrit	Assassination Training
tree.desc.assassin_BaseCrit	<Assassination> starts with +10% critical chance
tree.name.assassin_FullCritHit	Double Tap
tree.desc.assassin_FullCritHit	While you have <Assassination>, skills with 100% critical chance hit 1 extra time
tree.name.reroll_3	Reroll II
tree.desc.reroll_3	+1 reroll per run
tree.name.reroll_4	Reroll III
tree.desc.reroll_4	+1 reroll per run
tree.name.reroll_5	Reroll IV
tree.desc.reroll_5	+1 reroll per run
tree.name.orb_BasicSlow	Sticky Orb
tree.desc.orb_BasicSlow	Orb hits slow enemies
tree.name.orb_Pierce	Orb Pierce
tree.desc.orb_Pierce	Orb holds 3 more enemies
tree.name.eagle_DropNum	Eagle Squadron
tree.desc.eagle_DropNum	Eagle Drop drops 1 more time
tree.name.shotgun_BonusHit	Extra Load
tree.desc.shotgun_BonusHit	Buckshot Blast evolved into 「Bonus Rounds Loaded」 grants +1 more hit
tree.name.shotgun_Crit	Vital Buckshot
tree.desc.shotgun_Crit	Buckshot Blast critical chance +30%
tree.name.exp_3	Experience III
tree.desc.exp_3	Experience gain +13%
tree.name.exp_4	Experience IV
tree.desc.exp_4	Experience gain +16%
tree.name.exp_5	Experience V
tree.desc.exp_5	Experience gain +20%
tree.name.knowledge_BaseXp	Knowledge Training
tree.desc.knowledge_BaseXp	<Knowledge> starts with +10% experience gain
tree.name.knowledge_EvoHint	Evolution Insight
tree.desc.knowledge_EvoHint	While you have <Knowledge>, level-up choices show the evolution requirements of your skills
tree.name.New_Evolution	Unlock Evolution
tree.desc.New_Evolution	Skills can now make their first evolution
tree.name.arrow_Pierce	Piercing Arrow
tree.desc.arrow_Pierce	Arrow Shot pierces 1 more enemy
tree.name.swing_Knockback	Heavy Swing
tree.desc.swing_Knockback	Swing knocks enemies back 1.5x farther
tree.name.gold_4	Wealth IV
tree.desc.gold_4	Essence gain +40%
tree.name.gold_5	Wealth V
tree.desc.gold_5	Essence gain +47%
tree.name.rewind_NoGcd	Seamless Rewind
tree.desc.rewind_NoGcd	Rewind no longer triggers the global cooldown
tree.name.thunder_Stack	Charge Up
tree.desc.thunder_Stack	Lightning's buff stacks, dealing more damage per stack
tree.name.hp_3	Health III
tree.desc.hp_3	Max health increased by 8
tree.name.hp_4	Health IV
tree.desc.hp_4	Max health increased by 8
tree.name.sniping_Crit	Vital Shot
tree.desc.sniping_Crit	Sniping critical chance +30%
tree.name.health_BaseHp	Vitality Training
tree.desc.health_BaseHp	<Vitality> starts with +30 max health
tree.name.health_HealItem	Nutritious
tree.desc.health_HealItem	While you have <Vitality>, healing items restore twice as much
tree.name.hp_5	Health V
tree.desc.hp_5	Max health increased by 9
tree.name.defense_BaseReduce	Defense Training
tree.desc.defense_BaseReduce	<Defense> starts with +10% damage reduction
tree.name.defense_Revive	Undying
tree.desc.defense_Revive	While you have <Defense>, revive once with half your max health when you die
tree.name.hp_6	Health VI
tree.desc.hp_6	Max health increased by 9
tree.name.homing_Cooldown	Quick Reload
tree.desc.homing_Cooldown	Homing Missile's base cooldown -1s
tree.name.atk_4	Attack IV
tree.desc.atk_4	All damage increased by 11%
tree.name.atk_5	Attack V
tree.desc.atk_5	All damage increased by 13%
tree.name.strength_BaseDmg	Strength Training
tree.desc.strength_BaseDmg	<Strength> starts with +5% damage
tree.name.strength_SlowSkill	Heavy Hitter
tree.desc.strength_SlowSkill	<Strength>'s damage bonus is doubled for skills with a cooldown of 5s or more
tree.name.New_Evolution2	Unlock 2nd Evolution
tree.desc.New_Evolution2	Skills can now make their second evolution
tree.name.atk_6	Attack VI
tree.desc.atk_6	All damage increased by 15%
tree.name.boss_1	Boss Hunter I
tree.desc.boss_1	Damage to bosses +10%
tree.name.boss_2	Boss Hunter II
tree.desc.boss_2	Damage to bosses +10%
tree.name.boss_3	Boss Hunter III
tree.desc.boss_3	Damage to bosses +10%
tree.name.boss_4	Boss Hunter IV
tree.desc.boss_4	Damage to bosses +10%
tree.name.boss_5	Boss Hunter V
tree.desc.boss_5	Damage to bosses +10%
