KEY	EN
skill.name.BasicAttack	Arrow Shot
skill.desc.BasicAttack	Fires arrows straight ahead.
evo.active.desc.BasicAttack.0.1	One large, sharp arrow skewers everything in its path.
evo.name.BasicAttack.0.1	Black Arrow
evo.active.desc.BasicAttack.0.2	Countless chasing arrows follow alongside the great arrow.
evo.name.BasicAttack.0.2	Blueberry Hunter
evo.active.desc.BasicAttack.1.1	A rain of arrows falls.
evo.name.BasicAttack.1.1	Arrow Rain
evo.active.desc.BasicAttack.1.2	Countless arrows blot out the sky.
evo.name.BasicAttack.1.2	Skyshredder
skill.name.Whirlwind	Whirlwind
skill.desc.Whirlwind	Summons a whirlwind that hunts enemies on its own.
evo.active.desc.Whirlwind.0.1	More whirlwinds!
evo.name.Whirlwind.0.1	Splitting Whirlwind
evo.active.desc.Whirlwind.0.2	Deploys a machine that spawns whirlwinds without end.
evo.name.Whirlwind.0.2	Whirlwind Engine
evo.active.desc.Whirlwind.1.1	Summons one colossal vortex.
evo.name.Whirlwind.1.1	Great Whirlwind
evo.active.desc.Whirlwind.1.2	Enemies struck by the whirlwind take more damage from everything else.
evo.name.Whirlwind.1.2	Cry of the Sky
skill.name.Orb	Orb
skill.desc.Orb	Hurls a magic orb straight ahead.
evo.active.desc.Orb.0.1	The orb of magic grows far larger.
evo.name.Orb.0.1	Surging Magic
evo.active.desc.Orb.0.2	Summons a giant orb that pierces all and drags nearby enemies in.
evo.name.Orb.0.2	Giant Orb
evo.active.desc.Orb.1.1	Summons several small orbs that chase enemies.
evo.name.Orb.1.1	Seeking Orbs
evo.active.desc.Orb.1.2	Juggles a great many orbs with practiced ease.
evo.name.Orb.1.2	Juggler
skill.name.Lightning	Lightning
skill.desc.Lightning	For a time, every hit you land has a chance to call down lightning.
evo.active.desc.Lightning.0.1	The lightning buff can now stack.
evo.name.Lightning.0.1	Gathering Thunderclouds
evo.active.desc.Lightning.0.2	At 20 stacks of the lightning buff, a colossal bolt comes down.
evo.name.Lightning.0.2	Stormpeak Bolt
evo.active.desc.Lightning.1.1	Plants a rod at the center of the field that calls down lightning.
evo.name.Lightning.1.1	Lightning Rod
evo.active.desc.Lightning.1.2	Every strike drags enemies toward the lightning rod.
evo.name.Lightning.1.2	Grace of Zeus
skill.name.EagleDrop	Eagle Drop
skill.desc.EagleDrop	Drops eagles across the whole screen several times.
evo.active.desc.EagleDrop.0.1	Each eagle bursts where it lands.
evo.name.EagleDrop.0.1	Bomber Eagle
evo.active.desc.EagleDrop.0.2	One huge dynamite eagle comes down.
evo.name.EagleDrop.0.2	Super Dynamite Eagle
evo.active.desc.EagleDrop.1.1	A small whirlwind rises where each eagle lands.
evo.name.EagleDrop.1.1	Whirlwind Bombing
evo.active.desc.EagleDrop.1.2	A rain of eagles falls without end.
evo.name.EagleDrop.1.2	Eagle Rain
skill.name.Sniping	Sniping
skill.desc.Sniping	Snipes the enemy with the most health for heavy damage.
evo.active.desc.Sniping.0.1	An eagle drops where the bullet lands.
evo.name.Sniping.0.1	Eagle Shot
evo.active.desc.Sniping.0.2	Marks the strongest enemy and calls in the eagle commando squad.
evo.name.Sniping.0.2	Eagle Squad Commander
evo.active.desc.Sniping.1.1	Fires on its own, and no longer triggers the global cooldown.
evo.name.Sniping.1.1	Auto-Defense System
evo.active.desc.Sniping.1.2	Taking damage automatically sweeps away nearby enemies.
evo.name.Sniping.1.2	Cybernetic Bunker
skill.name.Homing	Homing Missile
skill.desc.Homing	Fires a volley of missiles that chase enemies. The more you use it, the more damage it deals.
evo.active.desc.Homing.0.1	Each missile bursts where it hits.
evo.name.Homing.0.1	Heavy Warhead
evo.active.desc.Homing.0.2	Launches one enormous rocket at the strongest enemy for a massive blast.
evo.name.Homing.0.2	Ultra Super Rocket
evo.active.desc.Homing.1.1	Fires a swarm of mini missiles.
evo.name.Homing.1.1	Mini Missile Swarm
evo.active.desc.Homing.1.2	Blankets the world in missiles beyond counting.
evo.name.Homing.1.2	Like Stars in the Sky
skill.name.Shotgun	Buckshot Blast
skill.desc.Shotgun	Sprays buckshot forward in a fan.
evo.active.desc.Shotgun.0.1	Grants a buff that adds extra hits to every attack.
evo.name.Shotgun.0.1	Bonus Rounds Loaded
evo.active.desc.Shotgun.0.2	Grants a massive bonus-hit buff instead of attacking.
evo.name.Shotgun.0.2	Follow My Lead!
evo.active.desc.Shotgun.1.1	Unloads volley after volley straight ahead.
evo.name.Shotgun.1.1	Mecha Buster
evo.active.desc.Shotgun.1.2	Erases every enemy ahead. Every shot lands as a critical hit.
evo.name.Shotgun.1.2	Annihilation Barrage
skill.name.Rewind	Rewind
skill.desc.Rewind	Pulls every other skill's cooldown forward by 1 second.
evo.active.desc.Rewind.0.1	The next attack after a rewind hits harder.
evo.name.Rewind.0.1	Charged Rewind
evo.active.desc.Rewind.0.2	The attack after a rewind costs double cooldown, but hits devastatingly hard.
evo.name.Rewind.0.2	Overcharge
evo.active.desc.Rewind.1.1	Rewinds further, and the global cooldown is halved.
evo.name.Rewind.1.1	Accelerated Rewind
evo.active.desc.Rewind.1.2	Every skill's cooldown drops, and the global cooldown vanishes.
evo.name.Rewind.1.2	Hour of Blueberry Extinction
skill.name.Swing	Swing
skill.desc.Swing	Slams a hammer, damaging every enemy in reach and knocking them back.
evo.active.desc.Swing.0.1	Reaches even wider, and drains health from the enemies it hits.
evo.name.Swing.0.1	Sweeping Blow
evo.active.desc.Swing.0.2	Enemies you strike are stunned for a long time.
evo.name.Swing.0.2	Royal Paladin's Hammer
evo.active.desc.Swing.1.1	The impact travels out through the ground.
evo.name.Swing.1.1	Seismic Wave
evo.active.desc.Swing.1.2	The seismic wave grows, and enemies caught in it take more damage.
evo.name.Swing.1.2	Great Tidal Wave
skill.name.GrapeToss	Toxic Grapes
skill.desc.GrapeToss	Lobs toxic grapes. Each burst leaves a poison cloud that infects enemies inside.
evo.active.desc.GrapeToss.0.1	The cloud spreads wider, and the toxin grows stronger.
evo.name.GrapeToss.0.1	Biochem Grapes
evo.active.desc.GrapeToss.0.2	Enemies that fall poisoned pass the toxin to those around them.
evo.name.GrapeToss.0.2	Cataclysmic Plague
evo.active.desc.GrapeToss.1.1	Throws more grapes at once, and enemies entering the cloud are briefly stunned.
