KEY	KO
skill.name.BasicAttack	화살 쏘기
skill.desc.BasicAttack	가장 가까운 적에게 화살을 쏜다. 레벨업으로 화살 수와 관통이 늘어난다
evo.active.desc.BasicAttack.0.1	화살이 무엇도 개의치 않고 꿰뚫는다
evo.active.title.BasicAttack.0.1	꿰뚫는 화살
evo.active.desc.BasicAttack.0.2	촉이 묵직해져 더 깊이 박힌다
evo.active.title.BasicAttack.0.2	더 무거운 촉
evo.active.desc.BasicAttack.0.3	한 줄로 선 것들은 한 줄로 사라진다
evo.active.title.BasicAttack.0.3	일렬로 사라진다
evo.active.desc.BasicAttack.1.1	여러 발을 한 발에 담는다
evo.active.title.BasicAttack.1.1	한 발에 담는다
evo.active.desc.BasicAttack.1.2	한 발이 줄을 통째로 꿰고, 급소를 찾으면 화살이 따라붙는다
evo.active.title.BasicAttack.1.2	줄을 꿰는 한 발
evo.active.desc.BasicAttack.1.3	따라붙는 화살이 늘고 시위가 쉴 틈이 없다
evo.active.title.BasicAttack.1.3	따라붙는 화살
evo.active.desc.BasicAttack.2.1	시위를 당기면 하늘이 어두워진다
evo.active.title.BasicAttack.2.1	어두워지는 하늘
evo.active.desc.BasicAttack.2.2	쏠 때마다 화살이 비처럼 쏟아진다
evo.active.title.BasicAttack.2.2	쏟아지는 화살비
evo.active.desc.BasicAttack.2.3	그 비가 그칠 줄을 모른다
evo.active.title.BasicAttack.2.3	그치지 않는 비
evo.name.BasicAttack.0.1	암살 사격
evo.name.BasicAttack.0.2	처형 사격
evo.name.BasicAttack.1.1	화살비
evo.name.BasicAttack.1.2	폭풍 화살비
skill.name.Whirlwind	회오리
skill.desc.Whirlwind	적을 자동으로 추적하는 회오리를 소환(지속시간 4초). 닿아있는 동안 지속 피해를 주며, 피해를 주는 동안 이동 속도가 느려짐
evo.active.desc.Whirlwind.0.1	회오리가 둘로 늘어난다
evo.active.title.Whirlwind.0.1	둘로 늘어난다
evo.active.desc.Whirlwind.0.2	둘이 나란히 돌고, 사라진 자리엔 새끼가 남는다
evo.active.title.Whirlwind.0.2	남기고 가는 새끼
evo.active.desc.Whirlwind.0.3	남는 새끼가 더 늘고 전부 사나워진다
evo.active.title.Whirlwind.0.3	사나워진 무리
evo.active.desc.Whirlwind.1.1	바람은 기다려 주지 않는다
evo.active.title.Whirlwind.1.1	기다리지 않는 바람
evo.active.desc.Whirlwind.1.2	한 번 돌기 시작하면 멈출 이유가 없다
evo.active.title.Whirlwind.1.2	멈출 이유가 없다
evo.active.desc.Whirlwind.1.3	부르는 즉시 온다
