KEY	ZH
skill.name.BasicAttack	箭矢射击
skill.desc.BasicAttack	向前方射出箭矢。
evo.active.desc.BasicAttack.0.1	射出一支巨大锋利的箭，贯穿敌人。
evo.name.BasicAttack.0.1	黑箭
evo.active.desc.BasicAttack.0.2	无数追击箭紧随巨箭左右。
evo.name.BasicAttack.0.2	蓝莓猎人
evo.active.desc.BasicAttack.1.1	箭如雨下。
evo.name.BasicAttack.1.1	箭雨
evo.active.desc.BasicAttack.1.2	无数箭矢遮天蔽日。
evo.name.BasicAttack.1.2	碎天者
skill.name.Whirlwind	旋风
skill.desc.Whirlwind	召唤会自动追踪敌人的旋风。
evo.active.desc.Whirlwind.0.1	更多旋风！
evo.name.Whirlwind.0.1	分裂旋风
evo.active.desc.Whirlwind.0.2	设置一台源源不断制造旋风的机器。
evo.name.Whirlwind.0.2	旋风发生器
evo.active.desc.Whirlwind.1.1	召唤一个巨大的漩涡。
evo.name.Whirlwind.1.1	大旋风
evo.active.desc.Whirlwind.1.2	被旋风击中的敌人更容易受到其他攻击。
evo.name.Whirlwind.1.2	天空的悲鸣
skill.name.Orb	法球
skill.desc.Orb	向前方发射魔法球。
evo.active.desc.Orb.0.1	魔力法球变得更加巨大。
evo.name.Orb.0.1	强大魔力
evo.active.desc.Orb.0.2	召唤贯穿一切的超大法球，将周围的敌人吸过来。
evo.name.Orb.0.2	超大法球
evo.active.desc.Orb.1.1	召唤多个小法球追踪敌人。
evo.name.Orb.1.1	追踪法球
evo.active.desc.Orb.1.2	熟练地操控大量法球。
evo.name.Orb.1.2	杂耍师
skill.name.Lightning	落雷
skill.desc.Lightning	在一段时间内，每次造成攻击伤害时都有一定几率降下落雷。
evo.active.desc.Lightning.0.1	落雷增益可以叠加。
evo.name.Lightning.0.1	雷云积聚
evo.active.desc.Lightning.0.2	落雷增益叠加到20层时，降下超大落雷。
evo.name.Lightning.0.2	超大蓄能雷电
evo.active.desc.Lightning.1.1	在地图中央设置会降下落雷的避雷针。
evo.name.Lightning.1.1	避雷针
evo.active.desc.Lightning.1.2	每次降下落雷时，将敌人吸向避雷针。
evo.name.Lightning.1.2	宙斯的恩赐
skill.name.EagleDrop	老鹰空投
skill.desc.EagleDrop	向整个画面多次空投老鹰。
evo.active.desc.EagleDrop.0.1	老鹰落地处会产生爆炸。
evo.name.EagleDrop.0.1	炸弹老鹰
evo.active.desc.EagleDrop.0.2	投下一只巨大的炸药老鹰。
evo.name.EagleDrop.0.2	超级炸药老鹰
evo.active.desc.EagleDrop.1.1	老鹰落下的位置会产生小旋风。
evo.name.EagleDrop.1.1	旋风轰炸
evo.active.desc.EagleDrop.1.2	老鹰如雨点般不断落下。
evo.name.EagleDrop.1.2	老鹰之雨
skill.name.Sniping	狙击
skill.desc.Sniping	狙击生命值最高的敌人，造成大量伤害。
evo.active.desc.Sniping.0.1	子弹命中处会落下老鹰。
evo.name.Sniping.0.1	老鹰狙击
evo.active.desc.Sniping.0.2	瞄准最强的敌人，向老鹰特攻队下达指令。
evo.name.Sniping.0.2	老鹰特攻队指挥官
evo.active.desc.Sniping.1.1	技能自动释放，且不会触发公共冷却。
evo.name.Sniping.1.1	自动防御系统
evo.active.desc.Sniping.1.2	受到伤害时，自动扫除附近的敌人。
evo.name.Sniping.1.2	赛博地堡
skill.name.Homing	追踪导弹
skill.desc.Homing	发射一组追踪敌人的导弹。技能使用次数越多，伤害越高。
evo.active.desc.Homing.0.1	导弹命中处会产生小型爆炸。
