KEY	EN
passive.lvl.Strength	Damage +{0}%
passive.lvl.Health	Max health +{0}
passive.lvl.Knowledge	Experience gain +{0}%
passive.lvl.Assassinate	Critical chance +{0}%
passive.lvl.Refresh	Cooldown reset chance +{0}%
passive.lvl.Defense	Damage taken -{0}%
passive.lvl.Accel	All skill cooldowns -{0}%
passive.acq.Strength	Damage +{0}%
passive.acq.Health	Max health +{0}
passive.acq.Knowledge	Experience gain +{0}%
passive.acq.Assassinate	All damage has a {0}% chance to deal triple damage
passive.acq.Refresh	{0}% chance to reset cooldowns on skill use
passive.acq.Defense	Damage taken -{0}%
passive.acq.Accel	All skill cooldowns -{0}%
passive.cur.Strength.dmg	Total damage +{0}%
passive.cur.Strength.qfallback	Q skill
passive.cur.Strength.q	Q ({0}) damage +{1}%
passive.cur.Health.max	Max health {0}
passive.cur.Health.heartDrop	Health pickup drop rate x{0}
passive.cur.Knowledge.xp	Experience gain +{0}%
passive.cur.Knowledge.treasure	Blueberries have a {0}% chance to appear as treasure chests
passive.cur.Knowledge.homingXp	Experience x{0} on Homing Missile kills
passive.cur.Assassinate.chance	Critical chance {0}%
passive.cur.Assassinate.mult	Critical damage x{0}
passive.cur.Assassinate.critCap	Critical chance cap {0}%
passive.cur.Assassinate.killXp	Experience x{0} on critical kills
passive.cur.Refresh.reset	{0}% chance to reset cooldowns on skill use
passive.cur.Refresh.heal	Restore {0} health on every reset
passive.cur.Refresh.buffCd	Buff skill (Buckshot / Lightning) cooldowns -{0}%
passive.cur.Refresh.lightningCd	{0}% chance on lightning strike to cut all cooldowns by 0.5s
passive.cur.Defense.reduce	Damage taken -{0}%
passive.cur.Defense.autoSwing	Auto-cast Swing when hit ({0}% damage)
passive.cur.Defense.retaliate	Reflect {0}% of damage taken to all enemies
passive.cur.Accel.cd	All skill cooldowns -{0}%
passive.cur.Accel.cutOnHit	All cooldowns -{0}s when hit
step.Damage.mul	Damage +{0}%
step.Damage.add	Damage +{0}
step.Cooldown.mul	Cooldown -{0}%
step.Cooldown.add	Cooldown -{0}s
step.ProjectileSpeed	Projectile speed +{0}%
step.Pierce	Pierce +{0}
step.ProjectileCount	Projectiles +{0}
step.ProjectileCount.arrowrain	Arrow Rain waves +{0}
step.ProcChance	Trigger chance +{0}%
step.Duration	Duration +{0}s
step.Scale	Size +{0}%
step.RewindAmount	Rewind time +{0}s
step.TickRate	Hits {0}% faster
step.MaxTargets.orb	Pierce targets +{0}
step.MaxTargets	Simultaneous targets +{0}
step.MaxTargets.homingOrb	Seeking Orbs +{0}
