KEY	KO
passive.lvl.Strength	피해량 {0}% 증가
passive.lvl.Health	최대 체력 {0} 증가
passive.lvl.Knowledge	경험치 획득량 {0}% 증가
passive.lvl.Assassinate	치명타 확률 {0}%p 증가
passive.lvl.Refresh	재사용 초기화 확률 {0}%p 증가
passive.lvl.Defense	받는 피해 {0}%p 감소
passive.lvl.Accel	모든 스킬 쿨타임 {0}%p 감소
passive.acq.Strength	피해량 {0}% 증가
passive.acq.Health	최대 체력 {0} 증가
passive.acq.Knowledge	경험치 획득량 {0}% 증가
passive.acq.Assassinate	모든 피해가 {0}% 확률로 3배 피해
passive.acq.Refresh	스킬 사용 시 {0}% 확률로 쿨타임 초기화
passive.acq.Defense	받는 피해 {0}% 감소
passive.acq.Accel	모든 스킬 쿨타임 {0}% 감소
passive.cur.Strength.dmg	전체 피해량 +{0}%
passive.cur.Strength.qfallback	Q 스킬
passive.cur.Strength.q	Q({0}) 피해량 +{1}%
passive.cur.Health.max	최대 체력 {0}
passive.cur.Health.regen	{0}초마다 체력 {1} 재생
passive.cur.Health.dmgPerHp	최대 체력 1당 피해량 +{0}%
passive.cur.Health.heartDrop	체력 회복 드랍률 x{0}
passive.cur.Knowledge.xp	경험치 획득량 +{0}%
passive.cur.Knowledge.treasure	블루베리가 {0}% 확률로 보물상자로 등장
passive.cur.Knowledge.eagleXp	독수리 투하 시전마다 경험치 +{0}
passive.cur.Assassinate.chance	치명타 확률 {0}%
passive.cur.Assassinate.mult	치명타 피해 배율 x{0}
passive.cur.Assassinate.slowCrit	재사용 {0}초 이상 스킬은 항상 치명타
passive.cur.Assassinate.killXp	치명타 처치 시 경험치 x{0}
passive.cur.Refresh.reset	스킬 사용 시 {0}% 확률로 쿨타임 초기화
passive.cur.Refresh.heal	초기화될 때마다 체력 {0} 회복
passive.cur.Refresh.buffCd	버프류 스킬(산탄·낙뢰) 쿨타임 -{0}%
passive.cur.Refresh.lightningCd	낙뢰 발동 시 {0}% 확률로 전체 쿨타임 -0.5초
passive.cur.Defense.reduce	받는 피해 -{0}%
passive.cur.Defense.autoSwing	피격 시 휘두르기 자동 발동 (피해 {0}%)
passive.cur.Defense.retaliate	피격 시 받은 피해의 {0}%를 전체 적에게
passive.cur.Accel.cd	모든 스킬 쿨타임 -{0}%
passive.cur.Accel.cutOnHit	피격 시 전체 쿨타임 -{0}초
step.Damage.mul	피해량 {0}% 증가
step.Damage.add	피해량 {0} 증가
step.Cooldown.mul	재사용 대기시간 {0}% 감소
step.Cooldown.add	재사용 대기시간 {0}초 감소
step.ProjectileSpeed	투사체 속도 {0}% 증가
step.Pierce	관통 {0}회 추가
step.ProjectileCount	투사체 +{0}
step.ProjectileCount.arrowrain	화살비 +{0}차례
step.ProcChance	발동 확률 {0}%p 증가
step.Duration	지속시간 {0}초 증가
step.Scale	크기 {0}% 증가
step.RewindAmount	되감기 시간 {0}초 증가
step.TickRate	타격 주기 {0}% 빨라짐
step.MaxTargets.orb	관통 대상 +{0}
step.MaxTargets	동시 대상 +{0}
ui.badge.active	액티브
ui.badge.passive	패시브
skill.gain.dmg	피해 {0}%  ({1}→{2})
skill.gain.cd	재사용 대기시간 {0}%  ({1}→{2}초)
skill.gain.projSpeed	투사체 속도 +{0}%
skill.gain.pierce	관통 +{0}회
skill.gain.projCount	발사 수 +{0}
skill.gain.targets.orb	관통 대상 +{0}
skill.gain.targets	동시 대상 +{0}
skill.gain.tickRate	타격 주기 -{0}%
skill.gain.procChance	발동 확률 +{0}%p
skill.gain.duration	지속시간 +{0}초
skill.gain.scale	크기 +{0}%
skill.gain.rewind	되감기 시간 {0}초
skill.gain.growth	성장 스택 {0} (사용할수록 강해짐)
ui.levelup.evoHeader	진화!
ui.levelup.evoFallbackHeader	진화할 스킬이 없다 — 대신 레벨업
ui.levelup.treasureHeader	보물 상자 — 무엇을 받을까?
ui.levelup.reroll	다시 뽑기 ({0})
ui.levelup.tagNew	신규!
ui.levelup.tagEvolve	진화!
ui.levelup.level	레벨: {0}
ui.levelup.essenceTitle	정수 획득
ui.levelup.essenceDesc	정수 +{0}
ui.levelup.evoStage	{0}차 진화
ui.levelup.levelRange	레벨: {0} → {1}
ui.levelup.instantLevels	{0}레벨 즉시 상승
ui.levelup.routeChoice	루트 선택: {0}
ui.treasure.boxTitle	보물 상자
ui.treasure.boxDesc	가지고 있는 스킬이 무작위로 강화된다 (운이 좋으면 여러 번)
ui.treasure.evoTitle	진화
ui.treasure.evoCount	{0}개 가능
ui.treasure.evoDesc	스킬 하나를 골라 진화시킨다
ui.evotree.header	{0} 진화 — Lv.{1}
ui.evotree.allDone	모든 진화 완료
ui.evotree.pickRoute	루트를 하나 고르세요 — 고른 뒤에는 바꿀 수 없습니다
ui.evotree.continueRoute	1차에서 고른 루트를 이어갑니다
ui.evotree.abandoned	[포기한 루트]
ui.evotree.lockedPrereq	[잠김 — '{0}' 필요]
ui.evotree.locked	[잠김]
ui.evotree.tier1Bonus	피해량 {0}% 증가 · 레벨 1부터 다시 성장
ui.essence	{0} 정수
ui.tree.cost	{0} 정수
ui.tree.clickUnlock	  ▸ 클릭하여 해금
ui.tree.maxed	(최대)
ui.tree.unlocked	해금됨
ui.tree.next	  · 다음 {0} 정수
ui.tree.click	  ▸ 클릭
ui.difficulty.0	쉬움
ui.difficulty.1	보통
ui.difficulty.2	어려움
ui.difficulty.plus	{0} +{1}
ui.ascension.base	기본 난이도
ui.ascension.stats	적 체력 +{0}   이동속도 +{1}   피해 +{2}
ui.ascension.essence	정수 획득 +{0}
ui.ascension.nextUnlock	클리어하면 다음 난이도가 열립니다
ui.pause.title	일시정지
ui.pause.giveUp	타이틀로 돌아가기
ui.pause.hint	ESC — 계속하기
ui.pause.activeHeader	액티브 스킬
